commodity_prefix,product_group
7201,Pig iron
7202,Ferro-alloys
7203,Direct reduced iron
7204,Ferrous waste and scrap
7205,Granules and powders
7206,Ingots and primary forms
7207,Semi-finished steel
7208,Hot-rolled flat products
7209,Cold-rolled flat products
7210,Coated or plated flat products
7211,Flat products under 600mm
7212,Coated flat products under 600mm
7213,Hot-rolled bars and rods
7214,Other bars and rods
7215,Other bars and rods
7216,Angles shapes and sections
7217,Wire
7218,Stainless steel ingots and semi-finished
7219,Stainless steel flat products
7220,Stainless steel flat products under 600mm
7221,Stainless steel bars and rods
7222,Stainless steel bars sections and wire
7223,Stainless steel wire
7224,Alloy steel ingots and semi-finished
7225,Other alloy flat products
7226,Other alloy flat products under 600mm
7227,Alloy bars and rods hot-rolled
7228,Other alloy bars rods and sections
7229,Alloy steel wire
