origin_country_code,origin_country,2024_tonnes,2025_tonnes,2026_ytd_tonnes,2024_value,2025_value,2026_ytd_value,total_tonnes,total_value,number_of_commodity_codes,number_of_active_months,first_seen,last_seen,main_product_group,main_dispatch_country,main_transport_mode,2025_equivalent_ytd_tonnes,2025_equivalent_ytd_value,2026_ytd_vs_2025_ytd_tonnes_pct,2026_ytd_vs_2025_ytd_value_pct,share_of_uk_steel_import_tonnes,share_of_uk_steel_import_value
IN,India,730456.575,1033071.093,518731.692,418805322,464455356,227992632,2282259.36,1111253310,200,29,202401,202605,Alloy steel ingots and semi-finished,India,Sea,433864.006,205495374,0.19560895770643852,0.10947817248674416,0.1375644264390944,0.08528925831650895
NL,Netherlands,589837.702,706858.03,238550.858,410974130,418781981,149680111,1535246.5899999999,979436222,228,29,202401,202605,Hot-rolled flat products,Netherlands,Sea,385244.446,220732159,-0.3807805395330735,-0.32189259744430804,0.09253782470889964,0.07517222958166361
DE,Germany,639855.7520000001,501019.806,180553.658,570613471,457666805,180120623,1321429.216,1208400899,299,29,202401,202605,Semi-finished steel,Germany,Sea,249845.256,214168575,-0.27733805760154195,-0.15897734763375065,0.07964986599020989,0.09274538532057344
FR,France,391368.65499999997,642045.3759999999,236439.631,388559979,509812213,196281158,1269853.662,1094653350,250,29,202401,202605,Other alloy flat products,France,Sea,280685.97,221239736,-0.15763644688047637,-0.11281236567738447,0.07654112137132987,0.08401520292000919
KR,South Korea,331014.12,672573.711,220522.223,258782683,396550110,128350093,1224110.054,783682886,117,29,202401,202605,Coated or plated flat products,South Korea,Sea,351698.967,212794971,-0.3729801799503153,-0.3968368124639562,0.07378390047520228,0.06014806120332837
ES,Spain,536513.628,429107.942,167087.44400000002,447230531,360065557,143946461,1132709.014,951242549,240,29,202401,202605,Angles shapes and sections,Spain,Sea,204575.014,167599677,-0.18324608302360904,-0.14112924573237692,0.06827465298830108,0.07300835079925694
TR,Turkey,361062.703,427579.641,297124.021,224526108,254788524,167098695,1085766.365,646413327,190,29,202401,202605,Other bars and rods,Turkey,Sea,137768.918,88117188,1.1566839989263762,0.8963235072821434,0.06544515924258731,0.04961255253830198
BE,Belgium,384208.694,366045.74199999997,150392.225,377538923,336179617,148366233,900646.6610000001,862084773,171,29,202401,202605,Coated or plated flat products,Belgium,Sea,167979.169,148917155,-0.10469717230235845,-0.0036995200452224594,0.054286968219401016,0.06616544601799744
,Unknown / not supplied,326315.733,324249.895,136320.862,172246198,167128477,68091235,786886.49,407465910,221,29,202401,202605,Ferrous waste and scrap,Ireland,Unknown,149561.64,78768171,-0.08853057508596468,-0.13554886275066613,0.047430011928846764,0.03127321641288194
VN,Vietnam,269333.006,175553.525,37023.005000000005,174204377,97593540,20503286,481909.53599999996,292301203,66,29,202401,202605,Coated or plated flat products,Vietnam,Sea,94985.94800000002,58901190,-0.6102265042403957,-0.6519037051713217,0.029047359856318043,0.022434266413022718
CN,China,191408.021,155366.97,111917.613,222022961,197896057,107220107,458692.60399999993,527139125,275,29,202401,202605,Semi-finished steel,China,Sea,66300.21399999999,86102386,0.688043012953171,0.24526290130914608,0.027647946630007313,0.04045819670122153
BR,Brazil,163614.35400000002,237727.72400000002,24601.794,118090892,127554700,33479435,425943.872,279125027,70,29,202401,202605,Semi-finished steel,Brazil,Sea,61915.519,38677774,-0.6026554505664403,-0.13440119382258142,0.025673998965186427,0.021422988184760086
PT,Portugal,246187.908,138089.679,39880.368,136655613,75985942,23314513,424157.95499999996,235956068,71,29,202401,202605,Other bars and rods,Portugal,Sea,84959.65299999999,45943445,-0.53059638791133,-0.4925388594608001,0.025566351844934138,0.018109748563988306
TW,Taiwan,111210.088,166566.821,107559.85399999999,115122050,130425855,73377921,385336.76300000004,318925826,156,29,202401,202605,Coated or plated flat products,Taiwan,Sea,58183.936,51807215,0.8486177009406856,0.4163649020701074,0.023226383344964026,0.024477719807664722
SE,Sweden,147023.00699999998,118724.579,59820.73300000001,214328096,195744025,89090457,325568.319,499162578,195,29,202401,202605,Other alloy flat products,Sweden,Sea,53180.458,88147288,0.12486306530116775,0.01069992079620192,0.019623807817344265,0.038310982450055917
FI,Finland,107311.12000000001,124049.70099999999,64776.534999999996,171132574,169262468,81007354,296137.356,421402396,110,29,202401,202605,Hot-rolled flat products,Finland,Roll-on/Roll-off,48136.253,73398259,0.34569126101277553,0.1036686033656466,0.017849840486722734,0.032342848821426504
JP,Japan,50628.577999999994,143365.34,73690.681,44098224,96658327,41954350,267684.59900000005,182710901,115,29,202401,202605,Cold-rolled flat products,Japan,Sea,38249.254,29032006,0.9265913264609029,0.4451068245163631,0.016134835055737918,0.014023154840034711
AT,Austria,72379.60800000001,129004.98199999999,37723.498,130159843,178468677,63678246,239108.08800000002,372306766,175,29,202401,202605,Other alloy flat products,Austria,Sea,71145.25,90925116,-0.46976786222551753,-0.2996627466496716,0.014412370284974321,0.028574734178616803
IT,Italy,106845.004,83455.513,38112.833,177785364,135663947,62528645,228413.35,375977956,255,29,202401,202605,Other alloy bars rods and sections,Italy,Roll-on/Roll-off,36079.285,58028493,0.05636331207783067,0.07755073012149394,0.0137677391248741,0.02885649988353874
EG,Egypt,59775.80500000001,107244.56200000002,54022.246999999996,32479323,50797550,25150298,221042.61399999997,108427171,32,29,202401,202605,Hot-rolled flat products,Egypt,Sea,50846.056000000004,25639200,0.06246681158515011,-0.019068535679740397,0.013323463996444353,0.00832184067550475
IE,Ireland,78126.97600000001,66291.259,28295.120000000003,38880553,31179942,12024166,172713.35499999998,82084661,122,29,202401,202605,Ferrous waste and scrap,Ireland,Roll-on/Roll-off,27294.245,12884967,0.03666981812466341,-0.0668066126983484,0.010410391577470273,0.006300039597499213
CZ,Czechia,64744.393000000004,58031.270000000004,24842.081,65231856,55790244,25576636,147617.744,146598736,126,29,202401,202605,Hot-rolled bars and rods,Poland,Sea,28788.814,26727962,-0.13709258741954428,-0.043075712244727074,0.008897739950814823,0.011251527757948996
