origin_country_name,dispatch_country_name,commodity_code,steel_product_group,tonnes,value,active_months,origin_dispatch_different
India,India,72071210,Semi-finished steel,751703.693,297352414,26,False
India,India,72249014,Alloy steel ingots and semi-finished,671039.886,258986175,20,False
Turkey,Turkey,72142000,Other bars and rods,301097.945,143536463,26,False
Vietnam,Vietnam,72104900,Coated or plated flat products,283306.952,173882907,29,False
Spain,Spain,72163291,Angles shapes and sections,279427.205,176290878,29,False
Netherlands,Netherlands,72253090,Other alloy flat products,273348.739,147919279,28,False
South Korea,South Korea,72071210,Semi-finished steel,258557.58000000002,115247732,12,False
Brazil,Brazil,72071210,Semi-finished steel,256831.382,116054612,12,False
France,France,72253090,Other alloy flat products,248834.82200000001,149043742,29,False
France,France,72104900,Coated or plated flat products,229824.108,175746181,29,False
Unknown / not supplied,Ireland,72044910,Ferrous waste and scrap,226848.63400000002,42471687,29,True
South Korea,South Korea,72104900,Coated or plated flat products,219360.115,138745338,28,False
India,India,72104900,Coated or plated flat products,212135.157,135467884,23,False
India,India,72249038,Alloy steel ingots and semi-finished,206045.451,85120398,7,False
Netherlands,Netherlands,72071210,Semi-finished steel,204362.182,98666159,21,False
Taiwan,Taiwan,72104900,Coated or plated flat products,200028.174,120270628,25,False
Portugal,Portugal,72142000,Other bars and rods,177186.76,90109781,26,False
Spain,Spain,72163390,Angles shapes and sections,170332.951,107474125,29,False
Netherlands,Netherlands,72083900,Hot-rolled flat products,164875.572,83986382,28,False
South Korea,South Korea,72107080,Coated or plated flat products,159495.801,167564570,27,False
Belgium,Belgium,72104900,Coated or plated flat products,148746.96,121142456,29,False
Germany,Germany,72071210,Semi-finished steel,145734.677,71130794,16,False
Germany,Netherlands,72071210,Semi-finished steel,123105.45599999999,57075846,16,True
Portugal,Portugal,72131000,Hot-rolled bars and rods,122772.11,64628935,27,False
Netherlands,Netherlands,72104900,Coated or plated flat products,122702.76000000001,112674045,29,False
Algeria,Algeria,72142000,Other bars and rods,117469.75,57464280,17,False
Turkey,Turkey,72104900,Coated or plated flat products,116151.905,68945395,23,False
Belgium,Belgium,72259200,Other alloy flat products,115206.987,109125126,29,False
France,France,72083900,Hot-rolled flat products,113671.823,70952414,29,False
Netherlands,Netherlands,72249014,Alloy steel ingots and semi-finished,109949.44900000001,53052733,15,False
India,India,72083900,Hot-rolled flat products,109861.686,53248711,13,False
Germany,Germany,72104900,Coated or plated flat products,109442.691,88066360,29,False
South Korea,South Korea,72091690,Cold-rolled flat products,109360.994,60146653,28,False
Netherlands,Netherlands,72085120,Hot-rolled flat products,105590.068,85221336,29,False
Netherlands,Netherlands,72083700,Hot-rolled flat products,102651.429,57311541,29,False
Netherlands,Netherlands,72083800,Hot-rolled flat products,102566.174,53381698,29,False
Belgium,Belgium,72107080,Coated or plated flat products,98288.437,133513985,29,False
Belgium,Belgium,72082700,Hot-rolled flat products,91155.662,57284605,29,False
Spain,Spain,72163211,Angles shapes and sections,88991.973,55898515,29,False
Netherlands,Netherlands,72083600,Hot-rolled flat products,84200.711,49370983,29,False
Japan,Japan,72091690,Cold-rolled flat products,82751.43,45755565,19,False
Germany,Germany,72139149,Hot-rolled bars and rods,80970.883,44678553,28,False
South Korea,South Korea,72085120,Hot-rolled flat products,79870.431,49716437,22,False
France,France,72259200,Other alloy flat products,77983.818,68706107,29,False
Spain,Spain,72287010,Other alloy bars rods and sections,75475.444,47855762,29,False
France,France,72083700,Hot-rolled flat products,73073.605,48330215,29,False
Ireland,Ireland,72044110,Ferrous waste and scrap,69162.259,15183911,26,False
Turkey,Turkey,72071210,Semi-finished steel,68432.515,30368407,3,False
Brazil,Brazil,72249014,Alloy steel ingots and semi-finished,68356.739,28379111,8,False
Belgium,Belgium,72091690,Cold-rolled flat products,67837.244,42630118,29,False
South Korea,South Korea,72091790,Cold-rolled flat products,67676.969,37717199,28,False
India,India,72083700,Hot-rolled flat products,60221.568,31379804,15,False
India,India,72083800,Hot-rolled flat products,59923.707,30198726,13,False
Ireland,Ireland,72043000,Ferrous waste and scrap,59174.389,8743857,29,False
France,France,72259900,Other alloy flat products,59132.492,67158943,29,False
China,China,72071210,Semi-finished steel,58647.676,29179275,10,False
Germany,Germany,72259200,Other alloy flat products,57563.797,55492376,29,False
Portugal,Spain,72142000,Other bars and rods,56849.84,29511365,16,True
Germany,Germany,72163390,Angles shapes and sections,56161.493,38008300,29,False
Germany,Germany,72083700,Hot-rolled flat products,54602.367,31798519,29,False
Spain,Spain,72163110,Angles shapes and sections,53629.87,34429892,29,False
Egypt,Egypt,72083900,Hot-rolled flat products,53613.81,25441202,11,False
Austria,Netherlands,72085198,Hot-rolled flat products,52454.467000000004,51789257,9,True
Turkey,Turkey,72083700,Hot-rolled flat products,48605.252,27295490,16,False
Turkey,Turkey,72083600,Hot-rolled flat products,48552.79,26392098,19,False
China,China,72101220,Coated or plated flat products,48272.983,43656353,29,False
Luxembourg,Luxembourg,72163390,Angles shapes and sections,48063.491,36731919,26,False
Japan,Japan,72083900,Hot-rolled flat products,47248.716,21341255,12,False
Egypt,Egypt,72142000,Other bars and rods,45698.712999999996,21461750,8,False
South Korea,South Korea,72106900,Coated or plated flat products,45110.455,32209406,29,False
France,France,72142000,Other bars and rods,44827.815,24322327,24,False
South Africa,Netherlands,72024190,Ferro-alloys,44755.701,38041049,13,True
Austria,Austria,72259200,Other alloy flat products,44682.987,46079929,29,False
Spain,Spain,72163310,Angles shapes and sections,44636.041,28328636,29,False
Netherlands,Netherlands,72085299,Hot-rolled flat products,44084.996,30507618,29,False
Taiwan,Taiwan,72083900,Hot-rolled flat products,43042.515,21273328,20,False
Egypt,Egypt,72083700,Hot-rolled flat products,42636.683,19052163,10,False
Belgium,Belgium,72091790,Cold-rolled flat products,41813.726,25778549,29,False
Belgium,Belgium,72083700,Hot-rolled flat products,41311.246999999996,23724818,29,False
France,France,72149110,Other bars and rods,40821.461,25190560,29,False
Sweden,Sweden,72254060,Other alloy flat products,40576.504,44819170,29,False
Turkey,Turkey,72163110,Angles shapes and sections,40399.364,25076635,23,False
Belgium,Belgium,72103000,Coated or plated flat products,39214.531,28360158,29,False
South Korea,South Korea,72083700,Hot-rolled flat products,38312.93,18698127,10,False
Germany,Germany,72163291,Angles shapes and sections,37920.518,25418682,29,False
South Korea,South Korea,72083900,Hot-rolled flat products,37576.76,18184417,13,False
Germany,Germany,72083600,Hot-rolled flat products,37573.193,20910606,29,False
France,France,72131000,Hot-rolled bars and rods,36071.867,19988412,23,False
Unknown / not supplied,Ireland,72043000,Ferrous waste and scrap,34698.092,7007535,29,True
Luxembourg,Luxembourg,72163291,Angles shapes and sections,32965.32,24189793,22,False
Unknown / not supplied,Germany,72083700,Hot-rolled flat products,32783.598,17349376,21,True
Norway,Norway,72023000,Ferro-alloys,32603.17,32032043,27,False
Belgium,Belgium,72082600,Hot-rolled flat products,31715.636,19348451,29,False
Taiwan,Taiwan,72083700,Hot-rolled flat products,31408.005,15668103,16,False
Netherlands,Netherlands,72259200,Other alloy flat products,31188.423,29416411,29,False
Turkey,Turkey,72164010,Angles shapes and sections,31028.561999999998,20048980,18,False
Spain,Portugal,72142000,Other bars and rods,30369.927,15764762,17,True
Unknown / not supplied,Spain,72163211,Angles shapes and sections,30344.218,19156157,29,True
Germany,Netherlands,72259200,Other alloy flat products,29819.058,31252748,20,True
France,France,72107080,Coated or plated flat products,29434.434,38793308,29,False
Unknown / not supplied,Spain,72163291,Angles shapes and sections,29111.672,17342888,29,True
Belgium,Belgium,72083800,Hot-rolled flat products,28705.464,16030175,29,False
China,China,72193310,Stainless steel flat products,28429.672,50502902,29,False
Mexico,Norway,72042900,Ferrous waste and scrap,28297.355,9951298,15,True
Egypt,Egypt,72131000,Hot-rolled bars and rods,28248.66,13429274,8,False
South Korea,South Korea,72103000,Coated or plated flat products,28215.432,17263867,27,False
Unknown / not supplied,Luxembourg,72163390,Angles shapes and sections,27347.495,20454269,26,True
India,India,72091690,Cold-rolled flat products,26726.517,16003958,13,False
Turkey,Turkey,72083900,Hot-rolled flat products,26293.118000000002,13786979,19,False
India,India,72083600,Hot-rolled flat products,26140.172,13672672,13,False
Netherlands,Brazil,72071210,Semi-finished steel,26099.814,15784618,1,True
Japan,Germany,72091690,Cold-rolled flat products,25211.285,14901323,4,True
Germany,Germany,72085120,Hot-rolled flat products,25180.753,21726626,29,False
Netherlands,Netherlands,72085198,Hot-rolled flat products,25126.968,17370290,29,False
Indonesia,Vietnam,72071210,Semi-finished steel,25013.41,11201187,1,True
Unknown / not supplied,Germany,72139149,Hot-rolled bars and rods,24414.814000000002,12404798,12,True
France,France,72083600,Hot-rolled flat products,24274.419,14952748,26,False
Turkey,Turkey,72172030,Wire,23844.747,19910277,29,False
Belgium,Belgium,72255080,Other alloy flat products,23760.847,21938512,29,False
Sweden,Sweden,72254040,Other alloy flat products,23267.962,38493798,29,False
China,China,72284090,Other alloy bars rods and sections,22877.938,21596921,29,False
Finland,Finland,72085299,Hot-rolled flat products,22760.096,14296689,26,False
Sweden,Sweden,72253090,Other alloy flat products,22752.607,20995667,29,False
Brazil,France,72071210,Semi-finished steel,22610.019,10031604,1,True
Germany,Germany,72083900,Hot-rolled flat products,22544.867,12737447,28,False
Germany,Germany,72163211,Angles shapes and sections,22436.653,14548064,27,False
Turkey,Turkey,72163211,Angles shapes and sections,22371.463,13368457,19,False
Turkey,Turkey,72131000,Hot-rolled bars and rods,22228.488,11230404,12,False
Austria,Austria,72269930,Other alloy flat products under 600mm,21609.603,26817592,29,False
Spain,Spain,72283070,Other alloy bars rods and sections,21512.947,13127964,29,False
Vietnam,Vietnam,72142000,Other bars and rods,21183.76,9528792,1,False
Portugal,Spain,72131000,Hot-rolled bars and rods,21091.2,11123188,14,True
Vietnam,Germany,72104900,Coated or plated flat products,20940.681,13117466,13,True
Indonesia,Indonesia,72026000,Ferro-alloys,20893.487,25213423,3,False
Belgium,Belgium,72083900,Hot-rolled flat products,20886.171000000002,11711273,29,False
Vietnam,Vietnam,72083900,Hot-rolled flat products,20578.989999999998,10158660,8,False
Vietnam,Vietnam,72083700,Hot-rolled flat products,20439.765,11072865,10,False
France,Belgium,72149110,Other bars and rods,20407.061,12763162,20,True
Austria,Austria,72104900,Coated or plated flat products,20171.059,19200918,29,False
India,India,72071116,Semi-finished steel,20023.368,9787040,2,False
Vietnam,Vietnam,72249014,Alloy steel ingots and semi-finished,19827.528,9957147,2,False
China,China,72071116,Semi-finished steel,19535.94,9751810,1,False
Turkey,Turkey,72162100,Angles shapes and sections,19472.757,11023365,24,False
China,China,72171090,Wire,19380.578,10659919,29,False
Japan,Japan,72091790,Cold-rolled flat products,19083.55,10729591,19,False
China,China,72299090,Alloy steel wire,18982.769,14565472,29,False
Spain,Spain,72085120,Hot-rolled flat products,18607.726,14857972,24,False
Denmark,Denmark,72085120,Hot-rolled flat products,18595.809,14386336,26,False
Unknown / not supplied,Ireland,72163299,Angles shapes and sections,18410.323,12616201,29,True
Germany,Germany,72139990,Hot-rolled bars and rods,18250.827999999998,14259924,28,False
Confidential / unknown,Confidential / unknown,72022100,Ferro-alloys,18212.486,21570011,8,False
Germany,Netherlands,72083700,Hot-rolled flat products,18014.386,11471173,17,True
Japan,Norway,72042900,Ferrous waste and scrap,17851.301,7271454,10,True
Unknown / not supplied,Spain,72163390,Angles shapes and sections,17702.708,10653994,29,True
Czechia,Poland,72139190,Hot-rolled bars and rods,17356.48,10766471,27,True
Taiwan,Taiwan,72091690,Cold-rolled flat products,16808.346,8704450,12,False
Spain,Spain,72163190,Angles shapes and sections,16736.13,12145613,29,False
Ukraine,Ukraine,72071116,Semi-finished steel,16703.37,9151592,1,False
South Korea,Germany,72103000,Coated or plated flat products,16239.231,10958746,15,True
South Korea,South Korea,72163390,Angles shapes and sections,16115.78,9948493,4,False
Finland,Finland,72107080,Coated or plated flat products,16061.497000000001,20096929,29,False
Czechia,Poland,72139170,Hot-rolled bars and rods,15960.685,10111090,27,True
Portugal,Portugal,72139110,Hot-rolled bars and rods,15812.7,8017123,10,False
Taiwan,Taiwan,72082700,Hot-rolled flat products,15774.602,9296591,16,False
Sweden,Sweden,72082700,Hot-rolled flat products,15508.216,12362958,29,False
Turkey,Turkey,72149939,Other bars and rods,15316.834,8274510,22,False
Vietnam,Vietnam,72107080,Coated or plated flat products,15213.059000000001,11903530,15,False
Unknown / not supplied,Portugal,72142000,Other bars and rods,15059.406,7982717,13,True
Germany,Germany,72083800,Hot-rolled flat products,14963.763,8696007,29,False
Indonesia,Netherlands,72026000,Ferro-alloys,14825.724999999999,16262437,2,True
Finland,Finland,72083700,Hot-rolled flat products,14780.526,8075537,22,False
South Korea,Germany,72104900,Coated or plated flat products,14762.07,9621699,12,True
Germany,Germany,72163310,Angles shapes and sections,14689.573,9661446,29,False
Austria,Austria,72255080,Other alloy flat products,14636.339,16270419,29,False
Turkey,Turkey,72083800,Hot-rolled flat products,14520.534,7690592,17,False
South Korea,South Korea,72249038,Alloy steel ingots and semi-finished,14488.71,5283248,1,False
Spain,Spain,72249007,Alloy steel ingots and semi-finished,14404.138,21538389,26,False
Finland,Finland,72085198,Hot-rolled flat products,14373.729,9154684,28,False
France,France,72162100,Angles shapes and sections,14259.313,8885645,29,False
Belgium,Belgium,72082500,Hot-rolled flat products,14259.1,8111238,29,False
Netherlands,Netherlands,72172030,Wire,14053.412,10527729,29,False
Denmark,Denmark,72254040,Other alloy flat products,13668.33,12087406,25,False
Sweden,Sweden,72254090,Other alloy flat products,13450.78,16006165,29,False
Japan,Japan,72083800,Hot-rolled flat products,13439.116,6445659,10,False
Sweden,Sweden,72085299,Hot-rolled flat products,13414.226999999999,9387835,29,False
Egypt,Egypt,72083800,Hot-rolled flat products,13390.68,6335292,10,False
Czechia,Poland,72283061,Other alloy bars rods and sections,13364.537,16914797,27,True
Germany,Netherlands,72104900,Coated or plated flat products,13346.167,14428873,20,True
Sweden,Sweden,72083700,Hot-rolled flat products,13306.066,7972737,27,False
South Korea,South Korea,72083600,Hot-rolled flat products,13278.77,6404084,10,False
Italy,Italy,72085120,Hot-rolled flat products,13270.229,9720005,25,False
Czechia,Poland,72272000,Alloy bars and rods hot-rolled,13260.42,8942992,27,True
Georgia,Georgia,72023000,Ferro-alloys,13258.35,10642907,19,False
Turkey,Turkey,72163219,Angles shapes and sections,13249.756,7282714,16,False
Turkey,Turkey,72155019,Other bars and rods,13191.596,8918089,29,False
Unknown / not supplied,Ireland,72044990,Ferrous waste and scrap,13148.53,3204175,29,True
Spain,Spain,72171090,Wire,13037.253,9877603,29,False
Spain,Spain,72149110,Other bars and rods,12877.945,7473165,28,False
Turkey,Netherlands,72164010,Angles shapes and sections,12828.74,9806665,21,True
