rank,dispatch_country_code,dispatch_country,direct_road_tonnes,roro_tonnes,road_freight_tonnes,direct_road_value_gbp,roro_value_gbp,road_freight_value_gbp,active_months,steel_products,product_groups,origin_countries,main_origin_country,main_product_group,direct_road_active_months,direct_road_steel_products,direct_road_main_origin_country,roro_active_months,roro_steel_products,roro_main_origin_country,country_total_steel_tonnes,direct_road_share_of_country_steel,roro_share_of_country_steel,road_freight_share_of_country_steel,share_of_uk_road_freight
1,DE,Germany,3.644,544537.307,544540.951,28714,694482098,694510812,29,281,27,51,Germany,Coated or plated flat products,3,4,Germany,29,281,Germany,1263668.462,2.8836677574691265e-06,0.4309178581050953,0.4309207417728527,0.25805449087860205
2,FR,France,50.656000000000006,292020.09900000005,292070.755,680409,431670098,432350507,29,263,27,52,France,Other bars and rods,7,4,France,29,263,France,1313657.221,3.856104864360199e-05,0.22229550778680648,0.22233406883545007,0.1384104718729481
3,BE,Belgium,87.32500000000002,224219.63199999998,224306.957,143170,398233066,398376236,29,193,27,43,Belgium,Stainless steel flat products,3,2,Vietnam,29,193,Belgium,1045544.177,8.352110022798206e-05,0.2144525663596135,0.21453608745984148,0.10629763929207867
4,NL,Netherlands,30.661,172601.11699999997,172631.778,76016,310613002,310689018,29,251,26,59,Netherlands,Stainless steel flat products,4,4,Netherlands,29,251,Netherlands,2158750.405,1.4203124144868431e-05,0.07995417932533057,0.07996838244947545,0.0818091008572427
5,SE,Sweden,6.359999999999999,143825.32,143831.68,68956,202184819,202253775,29,165,26,25,Sweden,Other alloy flat products,14,1,Sweden,29,165,Sweden,334533.586,1.901154403073896e-05,0.42992789369734613,0.42994690524137685,0.06816091771693772
6,IT,Italy,0.288,137955.70799999998,137955.99599999998,7874,252003091,252010965,29,219,28,38,Italy,Other alloy bars rods and sections,1,1,Italy,29,219,Italy,219230.951,1.3136831213216786e-06,0.6292711287832711,0.6292724424663924,0.06537646846587752
7,ES,Spain,0.0,115116.337,115116.337,0,179893881,179893881,29,196,26,28,Spain,Angles shapes and sections,0,0,,29,196,Spain,1275968.543,0.0,0.09021878919471135,0.09021878919471135,0.05455289943169872
8,IE,Ireland,9.95,109665.553,109675.503,15051,71389705,71404756,29,154,26,29,Ireland,Ferrous waste and scrap,2,2,Ireland,29,154,Ireland,560767.237,1.7743547310699965e-05,0.1955634098502085,0.1955811533975192,0.051974522827980284
9,FI,Finland,0.0,85038.573,85038.573,0,105595289,105595289,29,69,14,15,Finland,Hot-rolled flat products,0,0,,29,69,Finland,222374.316,0.0,0.3824118474185661,0.3824118474185661,0.04029923850586186
10,AT,Austria,45.27799999999999,58133.166,58178.444,103858,183227188,183331046,29,133,25,26,Austria,Other alloy flat products under 600mm,4,6,Germany,29,132,Austria,149202.938,0.0003034658741103342,0.38962480752222184,0.38992827339633224,0.027570394327476874
11,TR,Turkey,1236.741,39165.069,40401.81,2412099,30327283,32739382,29,116,21,10,Turkey,Other bars and rods,29,50,Turkey,29,102,Turkey,1045493.454,0.0011829256273851332,0.03746084573763386,0.03864377136501899,0.019146160616530038
12,CZ,Czechia,0.0,38858.415,38858.415,0,60798054,60798054,29,111,22,21,Czechia,Wire,0,0,,29,111,Czechia,44006.387,0.0,0.883017617419944,0.883017617419944,0.01841475554916426
13,PL,Poland,96.22399999999999,35161.815,35258.039000000004,233550,54594159,54827709,29,152,25,31,Poland,Other alloy bars rods and sections,5,3,Ukraine,29,152,Poland,164552.568,0.0005847614605443288,0.21368135075230185,0.2142661122128462,0.016708560277816274
14,LU,Luxembourg,0.0,11855.335,11855.335,0,14512555,14512555,29,23,13,10,Luxembourg,Wire,0,0,,29,23,Luxembourg,137767.78,0.0,0.0860530306868558,0.0860530306868558,0.005618167801709135
15,SK,Slovakia,0.0,10686.22,10686.22,0,13431129,13431129,29,36,15,11,Slovakia,Wire,0,0,,29,36,Slovakia,17317.48,0.0,0.6170770804990102,0.6170770804990102,0.005064131644190585
16,VN,Vietnam,0.0,10055.98,10055.98,0,6937205,6937205,2,1,1,1,Vietnam,Coated or plated flat products,0,0,,2,1,Vietnam,467247.671,0.0,0.02152173381298673,0.02152173381298673,0.004765464919433405
17,CH,Switzerland,487.152,7820.1990000000005,8307.350999999999,3097830,21347922,24445752,29,77,20,27,Switzerland,Stainless steel wire,29,32,Switzerland,29,71,Switzerland,10000.095,0.04871473720999651,0.7820124708815267,0.830727208091523,0.003936800765705581
18,JP,Japan,0.0,7362.844999999999,7362.844999999999,0,3534695,3534695,4,6,4,1,Japan,Cold-rolled flat products,0,0,,4,6,Japan,210110.056,0.0,0.03504280156871691,0.03504280156871691,0.0034892053837344197
19,CN,China,368.11600000000004,6299.686000000001,6667.802000000001,438550,17144461,17583011,29,77,21,8,China,Ferrous waste and scrap,6,7,China,29,73,China,436256.223,0.0008438068744752325,0.014440334986350443,0.015284141860825676,0.0031598289297241943
20,PT,Portugal,0.016,6559.3369999999995,6559.353,3436,13695359,13698795,29,41,15,8,Portugal,Wire,3,1,Portugal,29,41,Portugal,411119.146,3.89181582898112e-08,0.015954832227638455,0.015954871145796745,0.003108435638861679
21,EG,Egypt,0.0,6027.859,6027.859,0,2880368,2880368,7,7,3,1,Egypt,Other bars and rods,0,0,,7,7,Egypt,221490.256,0.0,0.027215007598347805,0.027215007598347805,0.002856564015022994
22,SI,Slovenia,0.0,5459.405,5459.405,0,16523946,16523946,29,45,12,9,Slovenia,Stainless steel flat products,0,0,,29,45,Slovenia,5569.412,0.0,0.9802480046367551,0.9802480046367551,0.0025871772824209403
23,DK,Denmark,0.0,5070.75,5070.75,0,12041373,12041373,29,102,23,23,Denmark,Semi-finished steel,0,0,,29,102,Denmark,52491.856,0.0,0.09660069935420078,0.09660069935420078,0.002402996151565232
24,RO,Romania,0.0,4017.7340000000004,4017.7340000000004,0,13000241,13000241,29,40,15,21,Romania,Other bars and rods,0,0,,29,40,Romania,4729.761,0.0,0.8494581438681574,0.8494581438681574,0.0019039785712197971
25,SM,San Marino,0.0,3544.262,3544.262,0,7186832,7186832,27,1,1,2,Italy,Coated or plated flat products,0,0,,27,1,Italy,3544.262,0.0,1.0,1.0,0.0016796032038926968
26,DZ,Algeria,0.0,3492.94,3492.94,0,1672957,1672957,1,1,1,1,Algeria,Other bars and rods,0,0,,1,1,Algeria,121285.92,0.0,0.028799220882357986,0.028799220882357986,0.001655282034738108
27,KR,South Korea,1324.95,2120.502,3445.452,1426976,1514499,2941475,12,8,6,1,South Korea,Cold-rolled flat products,1,1,South Korea,11,8,South Korea,1173189.658,0.0011293570404112784,0.0018074673481310213,0.0029368243885423,0.0016327777737815375
28,TW,Taiwan,16.611,2472.2729999999992,2488.884,103898,3303323,3407221,20,21,8,3,Taiwan,Coated or plated flat products,6,4,Taiwan,17,17,Taiwan,394436.979,4.211319142062489e-05,0.006267852994584464,0.006309966186005091,0.0011794662867805118
29,US,United States,1.883,2036.076,2037.9589999999998,196421,7306236,7502657,29,41,17,14,Slovakia,Semi-finished steel,6,6,United States,29,37,Slovakia,22277.463,8.452488508229147e-05,0.09139622406734556,0.09148074895242783,0.0009657757992501558
30,ZA,South Africa,0.0,1848.578,1848.578,0,2726434,2726434,9,4,3,2,South Africa,Ferrous waste and scrap,0,0,,9,4,South Africa,39647.933,0.0,0.046624826570404065,0.046624826570404065,0.0008760293486896717
31,NO,Norway,0.07500000000000001,1768.486,1768.5610000000001,10467,5603057,5613524,29,70,19,20,Norway,Ferro-alloys,2,2,Sweden,29,69,Norway,92874.683,8.075397683995326e-07,0.019041636998104208,0.01904244453787261,0.0008381098016680685
32,IN,India,0.0,1761.0529999999999,1761.0529999999999,0,3885591,3885591,27,27,17,2,India,Stainless steel bars sections and wire,0,0,,27,27,India,2260304.737,0.0,0.0007791219348313916,0.0007791219348313916,0.0008345518082536914
33,HR,Croatia,0.0,1202.163,1202.163,0,1706553,1706553,25,10,7,4,Croatia,Wire,0,0,,25,10,Croatia,1207.708,0.0,0.9954086583843114,0.9954086583843114,0.000569697394380341
34,YY,Confidential / unknown,0.0,1024.268,1024.268,0,1706518,1706518,8,2,1,1,Confidential / unknown,Ferro-alloys,0,0,,8,2,Confidential / unknown,20788.297,0.0,0.04927137610165951,0.04927137610165951,0.0004853940861157456
35,HU,Hungary,0.0,1009.7639999999999,1009.7639999999999,0,1889980,1889980,29,20,12,9,Hungary,Angles shapes and sections,0,0,,29,20,Hungary,1091.064,0.0,0.9254855810474911,0.9254855810474911,0.0004785207328283024
36,GR,Greece,0.0,914.558,914.558,0,2100948,2100948,26,17,9,4,Greece,Flat products under 600mm,0,0,,26,17,Greece,14503.592,0.0,0.06305734469088761,0.06305734469088761,0.0004334032153790258
37,UA,Ukraine,180.921,483.61500000000007,664.536,502163,1014586,1516749,23,5,3,1,Ukraine,Stainless steel bars sections and wire,5,1,Ukraine,21,5,Ukraine,32677.781000000003,0.005536514244954392,0.014799505511099424,0.020336019756053814,0.00031491938087591635
38,BG,Bulgaria,92.906,509.118,602.024,239903,814660,1054563,19,18,8,8,Bulgaria,Other alloy bars rods and sections,3,4,Ukraine,19,18,Bulgaria,718.071,0.12938274905963337,0.709007883621536,0.8383906326811694,0.0002852953419415091
39,MT,Malta,0.0,591.959,591.959,0,2726614,2726614,19,2,2,2,Germany,Ferro-alloys,0,0,,19,2,Germany,3087.6679999999997,0.0,0.19171717943768565,0.19171717943768565,0.0002805256025014846
40,EE,Estonia,0.0,566.166,566.166,0,2351684,2351684,19,21,8,8,Turkey,Ferro-alloys,0,0,,19,21,Turkey,1695.0420000000001,0.0,0.3340129625106635,0.3340129625106635,0.0002683024639643211
41,HK,Hong Kong,0.0,511.863,511.863,0,623158,623158,9,7,6,2,China,Other alloy bars rods and sections,0,0,,9,7,China,15121.278,0.0,0.03385051184165783,0.03385051184165783,0.00024256861788268683
42,BR,Brazil,7.357,457.73099999999994,465.08799999999997,80323,617366,697689,7,4,4,2,Brazil,Other alloy flat products,1,1,Brazil,6,3,Brazil,400360.336,1.837594621261383e-05,0.0011432975718154057,0.0011616735180280196,0.00022040224308813696
43,AE,United Arab Emirates,0.0,433.02700000000004,433.02700000000004,0,355741,355741,7,6,3,2,Turkey,Angles shapes and sections,0,0,,7,6,Turkey,20515.487,0.0,0.021107322482766314,0.021107322482766314,0.00020520873924445847
44,XS,Serbia and Montenegro aggregate,90.25800000000001,287.23100000000005,377.48900000000003,117387,318220,435607,9,4,3,1,Serbia and Montenegro aggregate,Coated or plated flat products,3,2,Serbia and Montenegro aggregate,6,3,Serbia and Montenegro aggregate,377.493,0.23909847334917472,0.7608909304278492,0.9999894037770238,0.00017888963452313916
45,AL,Albania,27.0,312.216,339.216,54798,546533,601331,9,2,2,2,Albania,Ferro-alloys,1,1,Turkey,9,2,Albania,1252.098,0.021563807305817917,0.24935428377012026,0.27091809107593817,0.00016075230341652648
46,KZ,Kazakhstan,0.0,264.24,264.24,0,433859,433859,5,3,1,1,Kazakhstan,Ferro-alloys,0,0,,5,3,Kazakhstan,14095.698,0.0,0.018746145100441283,0.018746145100441283,0.00012522165421083604
47,LT,Lithuania,0.0,176.222,176.222,0,392762,392762,26,30,14,14,Lithuania,Stainless steel flat products,0,0,,26,30,Lithuania,1218.0610000000001,0.0,0.14467419940380652,0.14467419940380652,8.351048421261712e-05
48,SG,Singapore,0.0,140.892,140.892,0,266925,266925,3,5,3,4,China,Stainless steel flat products,0,0,,3,5,China,526.286,0.0,0.2677099523833049,0.2677099523833049,6.676782207490581e-05
49,CA,Canada,0.033,130.42100000000002,130.454,28466,414064,442530,13,7,5,5,Canada,Alloy steel ingots and semi-finished,3,3,United States,11,5,Canada,6213.653,5.310885561198863e-06,0.020989424417488394,0.020994735303049593,6.18213203088874e-05
50,SL,Sierra Leone,0.0,71.384,71.384,0,158784,158784,3,3,2,2,Slovakia,Wire,0,0,,3,3,Slovakia,95.384,0.0,0.7483854734546674,0.7483854734546674,3.3828423267432336e-05
51,SA,Saudi Arabia,0.0,69.136,69.136,0,51965,51965,2,1,1,1,Spain,Wire,0,0,,2,1,Spain,92.241,0.0,0.7495148578181069,0.7495148578181069,3.2763110375114896e-05
52,ID,Indonesia,0.0,66.348,66.348,0,248519,248519,3,3,2,2,Indonesia,Stainless steel flat products under 600mm,0,0,,3,3,Indonesia,46238.044,0.0,0.0014349222903979242,0.0014349222903979242,3.14418949196963e-05
53,CY,CY,0.0,52.36,52.36,0,9171,9171,2,2,2,2,France,Wire,0,0,,2,2,France,53.62,0.0,0.9765013054830287,0.9765013054830287,2.4813070748105414e-05
54,AU,Australia,0.0,28.668,28.668,0,90908,90908,2,2,2,2,Austria,Wire,0,0,,2,2,Austria,1763.645,0.0,0.01625497194730232,0.01625497194730232,1.358558273885955e-05
55,BB,BB,0.0,27.080000000000002,27.080000000000002,0,16335,16335,1,2,2,1,France,Other bars and rods,0,0,,1,2,France,27.080000000000002,0.0,1.0,1.0,1.2833039645887981e-05
56,CV,CV,0.0,26.842,26.842,0,25366,25366,1,1,1,1,Netherlands,Wire,0,0,,1,1,Netherlands,26.842,0.0,1.0,1.0,1.2720252960669318e-05
57,IR,IR,0.0,26.193,26.193,0,39078,39078,1,1,1,1,Italy,Wire,0,0,,1,1,Italy,26.193,0.0,1.0,1.0,1.2412695991312552e-05
58,NA,NA,0.0,23.76,23.76,0,24279,24279,1,1,1,1,Belgium,Other alloy flat products,0,0,,1,1,Belgium,23.76,0.0,1.0,1.0,1.1259712776451197e-05
59,BA,Bosnia and Herzegovina,16.328,0.0,16.328,231181,0,231181,2,1,1,1,Bosnia and Herzegovina,Semi-finished steel,2,1,Bosnia and Herzegovina,0,0,,16.341,0.9992044550517103,0.0,0.9992044550517103,7.73773527836259e-06
60,LV,Latvia,0.0,11.846000000000002,11.846000000000002,0,18954,18954,6,5,4,3,South Africa,Stainless steel flat products,0,0,,6,5,South Africa,3881.171,0.0,0.003052171625522298,0.003052171625522298,5.6137440046229335e-06
61,GE,Georgia,0.0,6.611,6.611,0,17456,17456,1,1,1,1,Slovenia,Stainless steel flat products,0,0,,1,1,Slovenia,13264.961,0.0,0.0004983806586389512,0.0004983806586389512,3.1329108234477637e-06
62,IQ,IQ,0.0,6.305,6.305,0,9274,9274,3,2,2,1,IQ,Stainless steel bars sections and wire,0,0,,3,2,IQ,6.305,0.0,1.0,1.0,2.987899371023771e-06
63,GI,GI,0.0,2.285,2.285,0,17746,17746,1,2,2,1,United Kingdom,Semi-finished steel,0,0,,1,2,United Kingdom,2.285,0.0,1.0,1.0,1.08284695682622e-06
64,MD,MD,0.0,1.851,1.851,0,1563,1563,1,1,1,1,MD,Angles shapes and sections,0,0,,1,1,MD,1.851,0.0,1.0,1.0,8.77177119074544e-07
65,MX,Mexico,0.799,0.799,1.598,9650,9025,18675,2,1,1,1,Mexico,Alloy steel ingots and semi-finished,1,1,Mexico,1,1,Mexico,313.55400000000003,0.002548205412783763,0.002548205412783763,0.005096410825567526,7.572820293252952e-07
66,BL,BL,0.0,1.43,1.43,0,1956,1956,1,1,1,1,Netherlands,Angles shapes and sections,0,0,,1,1,Netherlands,1.43,0.0,1.0,1.0,6.776678985827109e-07
67,PK,Pakistan,0.0,0.413,0.413,0,2687,2687,1,1,1,1,Pakistan,Stainless steel bars sections and wire,0,0,,1,1,Pakistan,1193.803,0.0,0.00034595322678867446,0.00034595322678867446,1.9571807140885288e-07
68,PY,PY,0.0,0.217,0.217,0,6127,6127,1,1,1,1,PY,Ingots and primary forms,0,0,,1,1,PY,0.217,0.0,1.0,1.0,1.0283491887583796e-07
