period,year,month,commodity_code,commodity_description,steel_product_group,origin_country_code,origin_country_name,dispatch_country_code,dispatch_country_name,port_code,port_name_if_available,transport_mode_code,transport_mode,road_freight_class,tonnes,statistical_value_gbp,source_records,gbp_per_tonne
202605,2026,5,72091690,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply cold-rolled ""cold-reduced"", not clad, plated or coated, of a thickness of > 1 mm but < 3 mm (excl. electrical)",Cold-rolled flat products,JP,Japan,JP,Japan,LON,,60,Roll-on/Roll-off,Ro-Ro,5742.46,2747270,1,478.41
202605,2026,5,72254060,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of >= 4,75 mm but <= 10 mm (excl. products of tool steel, high-speed steel or silicon-electrical steel)",Other alloy flat products,SE,Sweden,SE,Sweden,IMM,,60,Roll-on/Roll-off,Ro-Ro,2058.722,1869602,1,908.14
202605,2026,5,72043000,"Waste and scrap of tinned iron or steel (excl. radioactive, and waste and scrap of batteries and electric accumulators)",Ferrous waste and scrap,IE,Ireland,IE,Ireland,LIV,,60,Roll-on/Roll-off,Ro-Ro,1660.976,256771,1,154.59
202605,2026,5,72104900,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"", not corrugated, plated or coated with zinc (excl. electrolytically plated or coated with zinc)",Coated or plated flat products,DE,Germany,DE,Germany,IMM,,60,Roll-on/Roll-off,Ro-Ro,1640.505,1301223,1,793.18
202605,2026,5,72139149,"Bars and rods, hot-rolled, of iron or non-alloy steel, in irregularly wound coils, containing by weight > 0,06% and < 0,25% of carbon, of circular cross-section, measuring < 14 mm in diameter (excl. of free-cutting steel, bars and rods, hot-rolled, for concrete reinforcement and tyre cord and bars and rods, hot-rolled, containing indentations, ribs, grooves or other deformations produced during the rolling process)",Hot-rolled bars and rods,DE,Germany,DE,Germany,LIV,,60,Roll-on/Roll-off,Ro-Ro,1450.35,820998,1,566.07
202605,2026,5,72107080,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"", painted, varnished or plastic coated (excl. tinplate and products electrolytically plated or coated with chrome, varnished)",Coated or plated flat products,FI,Finland,FI,Finland,LON,,60,Roll-on/Roll-off,Ro-Ro,1407.904,1798190,1,1277.21
202605,2026,5,72163390,"H sections of iron or non-alloy steel, simply hot-rolled, hot-drawn or extruded, of a height > 180 mm",Angles shapes and sections,DE,Germany,DE,Germany,LON,,60,Roll-on/Roll-off,Ro-Ro,1264.852,859363,1,679.42
202605,2026,5,72253090,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, in coils (excl. products of tool steel, high-speed steel or silicon-electrical steel)",Other alloy flat products,SE,Sweden,SE,Sweden,IMM,,60,Roll-on/Roll-off,Ro-Ro,1176.57,1058746,1,899.86
202605,2026,5,72091790,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply cold-rolled ""cold-reduced"", not clad, plated or coated, of a thickness of >= 0,5 mm but <= 1 mm (excl. electrical)",Cold-rolled flat products,JP,Japan,JP,Japan,LON,,60,Roll-on/Roll-off,Ro-Ro,1140.9,557399,1,488.56
202605,2026,5,72254040,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of > 10 mm (excl. products of tool steel, high-speed steel or silicon-electrical steel)",Other alloy flat products,SE,Sweden,SE,Sweden,IMM,,60,Roll-on/Roll-off,Ro-Ro,1101.376,1575956,1,1430.9
202605,2026,5,72155019,"Other bars and rods of iron or non-alloy steel, not further worked than cold-formed or cold-finished, containing by weight < 0,25% of carbon, of square or other than rectangular cross-section (excl. those of free-cutting steel)",Other bars and rods,TR,Turkey,TR,Turkey,FXT,,60,Roll-on/Roll-off,Ro-Ro,1092.665,755400,1,691.34
202605,2026,5,72082700,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply hot-rolled, not clad, plated or coated, of a thickness of < 3 mm, pickled, without patterns in relief",Hot-rolled flat products,SE,Sweden,SE,Sweden,IMM,,60,Roll-on/Roll-off,Ro-Ro,897.89,671986,1,748.41
202605,2026,5,72171090,"Wire of iron or non-alloy steel, in coils, containing by weight >= 0,6% carbon, not plated or coated, whether or not polished (excl. hot-rolled bars and rods)",Wire,DE,Germany,DE,Germany,IMM,,60,Roll-on/Roll-off,Ro-Ro,868.375,1747256,1,2012.1
202605,2026,5,72149110,"Bars and rods of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, containing by weight < 0,25% of carbon, of rectangular ""other than square"" cross-section (excl. those with indentations, ribs, grooves or other deformations produced during the rolling process, bars and rods twisted after rolling, and free-cutting steel)",Other bars and rods,FR,France,FR,France,DOV,,60,Roll-on/Roll-off,Ro-Ro,849.307,559470,1,658.74
202605,2026,5,72149110,"Bars and rods of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, containing by weight < 0,25% of carbon, of rectangular ""other than square"" cross-section (excl. those with indentations, ribs, grooves or other deformations produced during the rolling process, bars and rods twisted after rolling, and free-cutting steel)",Other bars and rods,FR,France,FR,France,IMM,,60,Roll-on/Roll-off,Ro-Ro,833.599,560080,1,671.88
202605,2026,5,72151000,"Bars and rods, of non-alloy free-cutting steel, not further worked than cold-formed or cold-finished",Other bars and rods,TR,Turkey,TR,Turkey,FXT,,60,Roll-on/Roll-off,Ro-Ro,793.227,627834,1,791.49
202605,2026,5,72259200,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and plated or coated with zinc (excl. electrolytically plated or coated and products of silicon-electrical steel)",Other alloy flat products,DE,Germany,DE,Germany,IMM,,60,Roll-on/Roll-off,Ro-Ro,785.89,738940,1,940.26
